                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3264,                 2.9858,                 2.8534,                 0.7576,                0.61719,                0.73705,                0.48523,                 1.2871,                 1.5065,                 2.0161,             0.00010983,             0.00010983,             0.00010983
                      2,                0.99888,                 1.2806,                 1.5315,                0.78679,                0.77926,                 0.8846,                0.70458,                0.87142,                 1.0713,                 1.6091,             0.00021865,             0.00021865,             0.00021865
                      3,                0.85042,                 1.1383,                 1.4037,                0.82422,                0.78234,                0.87712,                0.64015,                 1.0982,                 1.0768,                  1.772,             0.00032526,             0.00032526,             0.00032526
                      4,                0.81004,                 1.1218,                 1.3588,                0.75263,                0.79429,                0.86943,                0.65547,                 1.0059,                  1.064,                 1.6345,             0.00032311,             0.00032311,             0.00032311
                      5,                0.76586,                 1.0277,                 1.3067,                0.83595,                0.82122,                0.90332,                0.69813,                0.96575,                0.89309,                 1.5921,             0.00032311,             0.00032311,             0.00032311
                      6,                0.73393,                0.94537,                 1.2821,                0.83734,                0.83488,                0.92047,                0.68799,                 1.0648,                 0.8499,                 1.7382,             0.00031981,             0.00031981,             0.00031981
                      7,                0.73622,                0.97177,                 1.2872,                0.83279,                0.80895,                0.90593,                0.71084,                0.94316,                0.87543,                 1.5472,             0.00031652,             0.00031652,             0.00031652
                      8,                0.73724,                0.95407,                 1.2846,                0.86317,                0.73686,                0.87731,                0.65696,                 1.0226,                 0.8619,                 1.6132,             0.00031322,             0.00031322,             0.00031322
                      9,                0.72732,                0.92293,                 1.2731,                0.78996,                0.86208,                 0.9106,                0.70651,                0.97773,                0.84864,                 1.5882,             0.00030992,             0.00030992,             0.00030992
                     10,                0.70842,                0.89565,                 1.2684,                0.85837,                0.82493,                0.91316,                0.68242,                 1.0498,                0.81817,                 1.6687,             0.00030663,             0.00030663,             0.00030663
                     11,                0.71112,                 0.8665,                 1.2434,                0.88098,                0.83551,                0.93304,                0.71994,                0.96363,                0.76408,                 1.5901,             0.00030333,             0.00030333,             0.00030333
                     12,                0.69737,                0.84869,                 1.2449,                 0.7775,                0.90239,                0.92706,                0.72495,                0.89337,                0.82103,                 1.5313,             0.00030003,             0.00030003,             0.00030003
                     13,                0.68558,                0.84347,                 1.2424,                0.85447,                0.86695,                0.92376,                0.71621,                0.94725,                0.72566,                 1.5549,             0.00029674,             0.00029674,             0.00029674
                     14,                 0.6733,                 0.7958,                 1.2226,                0.79755,                 0.8353,                0.92405,                0.73285,                0.87255,                0.77371,                 1.4843,             0.00029344,             0.00029344,             0.00029344
                     15,                0.67839,                0.80239,                   1.23,                0.88411,                0.84807,                0.94122,                0.74272,                0.89461,                0.77964,                 1.5178,             0.00029014,             0.00029014,             0.00029014
                     16,                 0.6712,                0.75991,                 1.2237,                0.90993,                0.83503,                0.92479,                0.68039,                 1.1104,                0.77557,                 1.7869,             0.00028685,             0.00028685,             0.00028685
                     17,                0.64398,                0.77758,                 1.2015,                0.84569,                0.86857,                0.93415,                0.70153,                 1.0123,                0.76179,                 1.6521,             0.00028355,             0.00028355,             0.00028355
                     18,                0.66676,                0.74988,                 1.2104,                0.88185,                0.90203,                0.94254,                0.76301,                0.86094,                0.66312,                 1.4633,             0.00028025,             0.00028025,             0.00028025
                     19,                0.64043,                0.74304,                 1.2075,                0.85514,                0.87235,                0.92605,                0.70838,                0.99909,                0.70967,                 1.6116,             0.00027696,             0.00027696,             0.00027696
                     20,                0.65257,                0.74791,                 1.1992,                0.86678,                0.89031,                0.93895,                0.76983,                0.78905,                 0.6703,                 1.4052,             0.00027366,             0.00027366,             0.00027366
                     21,                0.64785,                 0.7085,                 1.1995,                0.90041,                0.85845,                 0.9307,                0.74271,                0.86846,                0.67911,                 1.4686,             0.00027036,             0.00027036,             0.00027036
                     22,                0.63806,                0.68955,                 1.1994,                0.91225,                0.87375,                0.94301,                 0.7211,                0.96324,                0.64263,                 1.5997,             0.00026707,             0.00026707,             0.00026707
                     23,                0.64939,                0.69601,                 1.1934,                0.90563,                0.84497,                0.92724,                0.70447,                 1.0126,                0.68497,                 1.6157,             0.00026377,             0.00026377,             0.00026377
                     24,                0.63449,                0.70783,                 1.1921,                0.90302,                0.85536,                0.93587,                0.67968,                 1.0859,                0.74849,                 1.7854,             0.00026047,             0.00026047,             0.00026047
                     25,                0.62313,                0.68753,                 1.1766,                0.88786,                0.89705,                 0.9444,                0.72456,                0.96314,                0.65727,                 1.5932,             0.00025718,             0.00025718,             0.00025718
                     26,                0.62673,                0.67232,                  1.183,                0.90215,                0.86239,                0.93403,                0.72163,                0.94705,                 0.6708,                 1.5731,             0.00025388,             0.00025388,             0.00025388
                     27,                 0.6191,                0.66859,                 1.1764,                 0.8927,                0.86805,                0.94122,                0.71617,                 1.0019,                0.65202,                 1.6581,             0.00025058,             0.00025058,             0.00025058
